unixtimestamp,date,high,low,close,thursdays,expirydate,firstclose,firstclosedate,strikeprice,downloaded_filename,cleaned_filename,downloaded,strike_price_call_name,strike_price_call,strike_price_call_high,strike_price_call_low,strike_price_put_name,strike_price_put,strike_price_put_high,strike_price_put_low,position_price,position_price_max_1,position_price_max_2
1713930300,2024-04-24,22476.44921875,22384.0,22402.400390625,2024-04-25,2024-04-25,22147.0,2024-04-19,22100,op240424.csv,op240424_cleaned.csv,True,OPTIDXNIFTY25-APR-2024CE22100,317.2,397.9,286.15,OPTIDXNIFTY25-APR-2024PE22100,4.85,12.5,3.6,322.05,401.5,298.65
1714016700,2024-04-25,22625.94921875,22305.25,22570.349609375,2024-04-25,2024-04-25,22147.0,2024-04-19,22100,op250424.csv,op250424_cleaned.csv,True,OPTIDXNIFTY25-APR-2024CE22100,482.15,547.0,237.1,OPTIDXNIFTY25-APR-2024PE22100,0.25,22.0,0.05,482.4,547.05,259.1
1714103100,2024-04-26,22620.400390625,22385.55078125,22419.94921875,2024-05-02,2024-05-02,22419.94921875,2024-04-26,22400,op260424.csv,op260424_cleaned.csv,True,OPTIDXNIFTY02-MAY-2024CE22400,185.3,285.0,168.35,OPTIDXNIFTY02-MAY-2024PE22400,91.45,105.75,56.55,276.75,341.55,274.1
1714362300,2024-04-29,22655.80078125,22441.900390625,22643.400390625,2024-05-02,2024-05-02,22419.94921875,2024-04-26,22400,op290424.csv,op290424_cleaned.csv,True,OPTIDXNIFTY02-MAY-2024CE22400,301.05,313.35,176.0,OPTIDXNIFTY02-MAY-2024PE22400,30.4,80.55,27.45,331.45,340.8,256.55
1714448700,2024-04-30,22783.349609375,22568.400390625,22604.849609375,2024-05-02,2024-05-02,22419.94921875,2024-04-26,22400,op300424.csv,op300424_cleaned.csv,True,OPTIDXNIFTY02-MAY-2024CE22400,273.85,402.55,256.5,OPTIDXNIFTY02-MAY-2024PE22400,18.15,28.0,9.4,292.0,411.95,284.5
1714621500,2024-05-02,22710.5,22567.849609375,22648.19921875,2024-05-02,2024-05-02,22419.94921875,2024-04-26,22400,op020524.csv,op020524_cleaned.csv,True,OPTIDXNIFTY02-MAY-2024CE22400,255.65,345.8,210.0,OPTIDXNIFTY02-MAY-2024PE22400,0.15,19.0,0.05,255.8,345.85,229.0
1714707900,2024-05-03,22794.69921875,22348.05078125,22475.849609375,2024-05-09,2024-05-09,22475.849609375,2024-05-03,22500,op030524.csv,op030524_cleaned.csv,True,OPTIDXNIFTY09-MAY-2024CE22500,150.95,360.4,113.35,OPTIDXNIFTY09-MAY-2024PE22500,132.8,219.0,29.8,283.75,390.2,332.35
1714967100,2024-05-06,22588.80078125,22409.44921875,22442.69921875,2024-05-09,2024-05-09,22475.849609375,2024-05-03,22500,op060524.csv,op060524_cleaned.csv,True,OPTIDXNIFTY09-MAY-2024CE22500,110.5,202.85,94.2,OPTIDXNIFTY09-MAY-2024PE22500,141.8,172.5,79.0,252.3,281.85,266.7
1715053500,2024-05-07,22499.05078125,22232.05078125,22302.5,2024-05-09,2024-05-09,22475.849609375,2024-05-03,22500,op070524.csv,op070524_cleaned.csv,True,OPTIDXNIFTY09-MAY-2024CE22500,40.7,121.55,29.9,OPTIDXNIFTY09-MAY-2024PE22500,232.65,303.6,112.5,273.35,234.05,333.5
1715139900,2024-05-08,22368.650390625,22185.19921875,22302.5,2024-05-09,2024-05-09,22475.849609375,2024-05-03,22500,op080524.csv,op080524_cleaned.csv,True,OPTIDXNIFTY09-MAY-2024CE22500,14.95,50.0,12.25,OPTIDXNIFTY09-MAY-2024PE22500,207.35,333.1,136.15,222.29999999999998,186.15,345.35
